2562482000107;POSTO ITAMARATY LEME;AVENIDA VISCONDE DE NOVA GRANADA,1500; ;VILA GROSSKLAUSS;LEME;SP;GASOLINA C COMUM;4,279;14/07/2018 14:47
2562482000107;POSTO ITAMARATY LEME;AVENIDA VISCONDE DE NOVA GRANADA,1500; ;VILA GROSSKLAUSS;LEME;SP;ETANOL;2,459;14/07/2018 14:47
2737116000133;AUTO POSTO RIO BRANCO DE ANDRADAS LTDA;RUA CEL OLIVEIRA,786; ;CENTRO;ANDRADAS;MG;GASOLINA C COMUM;4,649;28/11/2018 13:46
2737116000133;AUTO POSTO RIO BRANCO DE ANDRADAS LTDA;RUA CEL OLIVEIRA,786; ;CENTRO;ANDRADAS;MG;ETANOL;2,849;28/11/2018 13:46
2737116000133;AUTO POSTO RIO BRANCO DE ANDRADAS LTDA;RUA CEL OLIVEIRA,786; ;CENTRO;ANDRADAS;MG;DIESEL S500;3,649;09/11/2018 14:45
2737116000133;AUTO POSTO RIO BRANCO DE ANDRADAS LTDA;RUA CEL OLIVEIRA,786; ;CENTRO;ANDRADAS;MG;DIESEL S10;3,699;09/11/2018 14:45
2930356000150;AUTO POSTO TOCANTINS;AVENIDA BERNARDO SAYAO,3160; ;CENTRO;GUARAI;TO;GASOLINA C COMUM;4,799;13/07/2018 12:02
2930356000150;AUTO POSTO TOCANTINS;AVENIDA BERNARDO SAYAO,3160; ;CENTRO;GUARAI;TO;DIESEL S500;3,449;13/07/2018 12:02
2930356000150;AUTO POSTO TOCANTINS;AVENIDA BERNARDO SAYAO,3160; ;CENTRO;GUARAI;TO;DIESEL S10;3,499;13/07/2018 12:02
3006726000120;POSTO PILOTO;AVENIDA AFONSO PENA,800; ;AMAMBAI;CAMPO GRANDE;MS;GASOLINA C COMUM;4,097;29/06/2018 10:10
3006726000120;POSTO PILOTO;AVENIDA AFONSO PENA,800; ;AMAMBAI;CAMPO GRANDE;MS;ETANOL;3,297;29/06/2018 10:10
3006726000120;POSTO PILOTO;AVENIDA AFONSO PENA,800; ;AMAMBAI;CAMPO GRANDE;MS;DIESEL S10;3,587;29/06/2018 10:10
3096030000131;POSTO ALTO ALEGRE;AVENIDA TANCREDO NEVES,3774; ;CENTRO;ALTO ALEGRE DOS PARECIS;RO;GASOLINA C COMUM;4,85;11/07/2018 09:33
3096030000131;POSTO ALTO ALEGRE;AVENIDA TANCREDO NEVES,3774; ;CENTRO;ALTO ALEGRE DOS PARECIS;RO;DIESEL S500;3,75;11/07/2018 09:33
3096030000131;POSTO ALTO ALEGRE;AVENIDA TANCREDO NEVES,3774; ;CENTRO;ALTO ALEGRE DOS PARECIS;RO;DIESEL S10;3,8;11/07/2018 09:33
3121901000120;POSTO SAVANA;RODOVIA BR-163,17846; ;CHACARA DAS MANSOES;CAMPO GRANDE;MS;GASOLINA C COMUM;4,199;05/07/2018 10:38
3121901000120;POSTO SAVANA;RODOVIA BR-163,17846; ;CHACARA DAS MANSOES;CAMPO GRANDE;MS;ETANOL;2,999;06/07/2018 08:42
3121901000120;POSTO SAVANA;RODOVIA BR-163,17846; ;CHACARA DAS MANSOES;CAMPO GRANDE;MS;DIESEL S500;3,39;05/07/2018 10:38
3121901000120;POSTO SAVANA;RODOVIA BR-163,17846; ;CHACARA DAS MANSOES;CAMPO GRANDE;MS;DIESEL S10;3,49;05/07/2018 10:38
3200588000115;POSTO SAFRA LTDA;RODOVIA SC-480, CHAPECO GOIO-EN,943;E, FRENTE;QUEDAS DO PALMITAL;CHAPECO;SC;GASOLINA C COMUM;4,449;25/09/2018 08:59
3200588000115;POSTO SAFRA LTDA;RODOVIA SC-480, CHAPECO GOIO-EN,943;E, FRENTE;QUEDAS DO PALMITAL;CHAPECO;SC;DIESEL S500;3,399;25/09/2018 08:59
3200588000115;POSTO SAFRA LTDA;RODOVIA SC-480, CHAPECO GOIO-EN,943;E, FRENTE;QUEDAS DO PALMITAL;CHAPECO;SC;DIESEL S10;3,469;25/09/2018 08:59
3572731000108;GLOBO COMBUSTIVEIS;RUA SENADOR SOUZA NAVES,720; ;CENTRO;SERTANOPOLIS;PR;GASOLINA C COMUM;4,649;12/07/2018 09:21
3572731000108;GLOBO COMBUSTIVEIS;RUA SENADOR SOUZA NAVES,720; ;CENTRO;SERTANOPOLIS;PR;ETANOL;2,99;12/07/2018 09:21
3572731000108;GLOBO COMBUSTIVEIS;RUA SENADOR SOUZA NAVES,720; ;CENTRO;SERTANOPOLIS;PR;DIESEL S500;3,33;12/07/2018 09:21
3572731000108;GLOBO COMBUSTIVEIS;RUA SENADOR SOUZA NAVES,720; ;CENTRO;SERTANOPOLIS;PR;DIESEL S10;3,42;12/07/2018 09:21
3572866000165;AUTO POSTO POROROCA XV;AVENIDA BANDEIRANTES,2390; ;VILA BANDEIRANTES;CAMPO GRANDE;MS;GASOLINA C COMUM;4,099;17/07/2018 14:29
3572866000165;AUTO POSTO POROROCA XV;AVENIDA BANDEIRANTES,2390; ;VILA BANDEIRANTES;CAMPO GRANDE;MS;ETANOL;2,999;17/07/2018 14:29
3572866000165;AUTO POSTO POROROCA XV;AVENIDA BANDEIRANTES,2390; ;VILA BANDEIRANTES;CAMPO GRANDE;MS;DIESEL S500;3,389;17/07/2018 14:29
3572866000165;AUTO POSTO POROROCA XV;AVENIDA BANDEIRANTES,2390; ;VILA BANDEIRANTES;CAMPO GRANDE;MS;DIESEL S10;3,459;17/07/2018 14:29
3734859000112;POSTO UNIAO;RUA JOSE DE ALENCAR LEITE,37; ;CENTRO;SANTO ANTONIO DE PADUA;RJ;GASOLINA C COMUM;5,399;09/10/2018 11:25
